Srno,Company,Timestamp,Title,Description
101,Infosys,"20 Apr 2024, 09:21AM IST",Q4 results today: HDFC Bank among 8 companies to announce earnings,"Q4 results today: HDFC Bank to release Q4 numbers today with expectations of strong growth. TCS exceeded estimates, Infosys faced challenges in Q4."
102,Infosys,"19 Apr 2024, 10:25PM IST",Sustained deal momentum and margin improvement augur well for Wipro,"Wipro’s net profit rose by 5.2% sequentially to Rs 2,834.6 crore in the March quarter, much faster than the analysts’ average estimate of 2.5% growth. It was driven by a 40 basis point improvement in the operating margin at 16.4%, again higher than the expectation of a 20 basis point expansion."
103,Infosys,"19 Apr,2024, 08:57PM IST",Newspaper advertisement enclosed.,Newspaper advertisement enclosed.
104,Infosys,"19 Apr,2024, 05:59PM IST","Report of Auditors on financial statements for the quarter and year ended March 31, 2024 with UDIN","Report of Auditors on financial statements for the quarter and year ended March 31, 2024 with UDIN"
105,Infosys,"19 Apr 2024, 04:45PM IST",Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 151.16 points up at 22147.0
106,Infosys,"19 Apr 2024, 03:58PM IST",Banking & financials lift Sensex 599 points higher despite IT selloff,"The broader NSE Nifty climbed 151 points or 0.69% to finish at 22,147. Among the Sensex constituents, Bajaj Finance, M&M, HDFC Bank, JSW Steel, and Maruti emerged as the top gainers, registering gains of 2-3%. Infosys, HCL Tech, and TCS closed 0.6% to 1.2% lower, resulting in a 0.4% decline in the IT index."
107,Infosys,"19 Apr 2024, 12:23PM IST",Millionaire baby gets richer! Narayana Murthy's grandson to earn Rs 4 crore from Infosys dividend,"Murthy's grandson owns 15 lakh shares or 0.04% stake in the Bengaluru-based software services exporter. At today's market price of Rs 1,400, the value of his holding comes to Rs 210 crore. The record date for the payment of the final dividend and a special dividend has been fixed at May 31, while the payment will be made on July 1."
108,Infosys,"19 Apr 2024, 10:37AM IST",Wipro shares under selling pressure ahead of Q4 results,"Wipro Share Price: Following disappointing Q4 results from Infosys, investor sentiment towards IT stocks soured, leading to pressure on Wipro shares. Wipro is slated to unveil its March quarter numbers post-market hours."
109,Infosys,"19 Apr 2024, 10:19AM IST",Share market update: Most active stocks of the day in terms of total traded value,The NSE Nifty index was trading 123.2 points down at 21872.65
110,Infosys,"19 Apr 2024, 09:47AM IST","Infosys shares drop 3% on Q4 miss. Should you buy, sell or hold?",Infosys Share Price: Infosys shares fall 3% after revenue decline. EBIT margin declines to 20.1%. FY25 revenue growth guidance impacted by discretionary spending weakness. Brokerages cut target prices. Analysts remain optimistic about Infosys' growth potential in the future.
111,Infosys,"19 Apr 2024, 09:45AM IST","Hot Stocks: Brokerage view on TVS Motor, Infosys, Bajaj Auto and HDFC Life","Citigroup maintains buy on HDFC Life, target Rs 710. JPMorgan overweight on Bajaj Auto, target at Rs 10,000. Citigroup has sell on TVS Motor."
112,Infosys,"19 Apr 2024, 09:33AM IST","Rs 3 lakh cr m-cap wiped off! Sensex plunges 600 pts, gives up 72K as Mideast conflict intensifies","Benchmark equity indices open lower mirroring Asian markets on geopolitical tensions. Sensex down 598 points, Nifty50 down 181 points. Infosys lags with 3% decline, lower annual revenue forecast. NTPC, L&T, Axis Bank, Power Grid down."
113,Infosys,"19 Apr 2024, 09:13AM IST","Buy Infosys, target price Rs 1650: Motilal Oswal",Infosys Ltd. key Products/Revenue Segments include Software Development Charges and Software Products for the year ending 31-Mar-2023.
114,Infosys,"19 Apr 2024, 08:47AM IST","Q4 results today: Wipro, Jio Financial among 15 companies to announce earnings","Q4 Results Today: Mixed Q4 earnings for IT sector with TCS outperforming and Infosys lagging. Awaited reports from companies like Wipro, Hindustan Zinc, Sejal Glass, and others will provide further insight into the sector's performance."
115,Infosys,"19 Apr 2024, 07:51AM IST","Big movers on D-Street: What should investors do with Infosys, Just Dial and Tata Motors?","Stocks that were in focus included names like Infosys, which rose 1%, Just Dial, which rose 14%, and Tata Motors, whose shares declined 1.54% on Thursday."
116,Infosys,"19 Apr 2024, 06:09AM IST","Stocks in news: Infosys, Wipro, Bajaj Auto, Jio Financial, HDFC AMC, Hindustan Zinc","Software services exporter Infosys forecast annual revenue below expectations on Thursday as global macroeconomic uncertainty pressures client spending on discretionary projects. Revenue for Q4 grew just 1%, while profit was up 30%."
117,Infosys,"19 Apr 2024, 05:24AM IST",Infosys Q4 net profit jumps 30%; company buys German tech firm for Rs 450 million,"Profit climbed to ?7,969 crore in the March quarter, beating ET's poll of ?6,103 crore. Other income buttressed the bottom-line through what turned out to be a tough year for revenue expansion, which hit the lowest pace in a decade. Headcount shrank by about 26,000, again a rarity for India's technology bellwether."
118,Infosys,"18 Apr,2024, 11:05PM IST",Certificate enclosed,Certificate enclosed
